lockID,lockName,stationID,address,managementProvince,managementCity,managementArea,LAT,LON,HEI
4C00000E0B1170A0,四川省成都市春熙东路锁具1,4674968890,四川省成都市春熙东路,四川省,成都市,成华区,104.0776265,30.65634231,0
4C00000E0B1170A1,四川省成都市春熙东路锁具2,4674968890,四川省成都市春熙东路,四川省,成都市,成华区,104.0776265,30.65634231,0
4C00000E0B1170B1,四川省成都市人民南路锁具1,4674968891,四川省成都市人民南路,四川省,成都市,武侯区,104.0666356,30.63291879,0
4C00000E0B1170B2,四川省成都市人民南路锁具2,4674968891,四川省成都市人民南路,四川省,成都市,武侯区,104.0666356,30.63291879,0
4C00000E0B1170B3,四川省成都市人民南路锁具3,4674968891,四川省成都市人民南路,四川省,成都市,武侯区,104.0666356,30.63291879,0
4C00000E0B1170C2,四川省成都市西源大道锁具1,4674968892,四川省成都市西源大道,四川省,成都市,郫县,103.9068024,30.75571072,0
4C00000E0B1170C3,四川省眉山市东坡路锁具1,4674968893,四川省眉山市东坡路,四川省,眉山市,东坡区,103.85507,30.081369,0
4C00000E0B1170C4,四川省绵阳市科技路锁具1,4674968894,四川省绵阳市科技路,四川省,绵阳市,游仙区,104.686164,31.473364,0
4C00000E0B1170C5,四川省乐山市民主路锁具1,4674968895,四川省乐山市民主路,四川省,乐山市,市中区,103.77193,29.558141,0
4C00000E0B1170C6,四川省德阳市自由路锁具1,4674968896,四川省德阳市自由路,四川省,德阳市,市辖区,104.3978915,31.12680109,0
4C00000E0B1170C7,四川省成都市建设北路二段四号锁具1,4674968897,四川省成都市建设北路二段四号,四川省,成都市,成华区,104.110687,30.679861,0
4C00000E0B1170C0,四川省成都市建设北路二段一号锁具1,4674968898,四川省成都市建设北路二段一号,四川省,成都市,成华区,104.112166,30.68018,0
